Player ID,Player Name,Player Team,Player Age,Player Height,Mins Played,tacklePerGame,interceptionPerGame,foulsPerGame,clearancePerGame,wasDribbledPerGame,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,xG,xGPerNinety,totalShots,xGPerShot,rating
1363,Paul Joly,Auxerre,24,182,761,2.2,1.2,0.4,1.5,0.9,0,1,0.5,0.7,0.3,1.2,0,0.5,1.1,21.5,72.1,0.4,1.4,0,0.32,0.04,8,0.04,6.3
1364,Yannick Gerhardt,Wolfsburg,30,184,983,1,0.6,0.6,1.4,0.6,1,0,0.4,0,0,0.2,0.1,0.1,0.6,16,72.5,0.2,0.4,0,0.88,0.08,9,0.1,6.3
1365,Pablo Sarabia,Wolves,32,174,499,0.8,0.3,0.6,0.4,0.3,1,1,0.8,0.5,0.3,0.8,0.3,0.6,0.7,14.3,75.5,0.4,0.7,0.1,2.3,0.41,11,0.21,6.3
1366,Raul Jimenez,Fulham,33,187,1716,0.8,0.3,1,0.4,0.3,9,3,2.7,0.5,0.6,1,0.4,1.1,1.7,15.7,72,0.1,0.6,0.1,11.51,0.6,74,0.16,6.82
1367,Tijjani Noslin,Lazio,25,178,685,0.2,0,0.8,0.2,0.2,2,2,0.6,0.4,0.3,0.5,0,0.4,0.8,8.6,78.3,0.1,0.3,0,1.68,0.22,13,0.13,6.3
1368,Frederik Rnnow,Union Berlin,32,188,1710,0,0,0,0.8,0.1,0,0,0.1,0,0.1,0.1,0,0,0.1,26.7,67.7,0,5.2,0,0.08,0.004505503,1,0.08,6.77
1369,Kike Garcia,Deportivo Alaves,35,186,1695,0.4,0,1.5,0.5,0.1,11,0,1.6,0.5,0.4,1.6,0.7,1.1,2.5,15.1,69,0,0.5,0,6.95,0.37,39,0.18,6.74
1370,rjan Nyland,Sevilla,34,192,1684,0.1,0,0,0.8,0.1,0,0,0,0.2,0,0,0,0,0,29.6,58.1,0,4.5,0,0,0,0,0,6.42
1371,Juan Cruz,Osasuna,32,182,1002,0.8,0.4,0.7,1.9,0.4,4,1,1,0.6,1.2,0.7,0.2,0.7,1,15.6,73.3,0.6,0.7,0.1,1.43,0.08,25,0.06,6.29
1372,El Chadaille Bitshiabu,RBL,19,196,474,0.9,0.5,0.3,2.8,0.2,0,0,0.1,0.2,0.1,0.1,0,0.1,0.4,27.7,85.3,0,1.2,0.1,0.04,0.01,1,0.04,6.29
1373,Pascal Gro,Borussia Dortmund,33,181,1650,1.7,0.4,0.5,0.7,1.2,0,7,0.7,2,0,0.5,0,0.2,0.8,58.4,87.2,1.8,3.1,0,0,0,0,0,6.73
1374,Timo Werner,Tottenham,28,180,508,0.3,0.1,0.2,0.3,0.6,0,3,0.4,0.6,0.6,0.3,0.3,0.3,0.8,11,74.2,0.2,0.1,0.1,0.97,0.17,8,0.12,6.29
1375,Pol Lirola,Marseille,27,183,507,0.8,0.2,0.7,0.7,0.6,1,2,0.4,0.5,0.1,0.5,0,0.2,0.3,18.3,83.2,0.2,0.1,0,0.84,0.15,5,0.17,6.29
